Y,Z
72.7,-0.0
71.6,-0.0
70.5,-0.0
69.4,-0.0
68.3,-0.0
67.2,-0.0
66.1,-0.0
65.0,-0.0
63.9,-0.0
62.8,-0.0
61.7,-0.0
60.6,-0.0
59.5,-0.0
58.4,-0.0
57.3,-0.0
56.2,-0.0
55.1,-0.0
54.0,-0.0
52.9,-0.0
51.8,-0.0
50.7,-0.0
49.6,-0.0
48.5,-0.0
47.4,-0.0
46.3,-0.0
45.2,-0.0
44.1,-0.0
43.0,-0.0
41.9,-0.0
40.8,-0.0
39.7,-0.0
38.6,-0.0
37.5,-0.0
36.4,-0.0
35.3,-0.0
34.2,-0.0
33.1,-0.0
32.0,-0.0
30.9,-0.0
29.799999999999997,-0.0
28.700000000000003,-0.0
27.6,-0.0
26.5,-0.0
25.4,-0.0
24.299999999999997,-0.0
23.200000000000003,-0.0
22.1,-0.0
21.0,-0.0
19.9,-0.0
18.799999999999997,-0.0
17.700000000000003,-0.0
16.6,-0.0
15.5,-0.0
14.400000000000006,-0.0
13.299999999999997,-0.0
12.200000000000003,-0.0
11.099999999999994,-0.0
10.0,-0.0
8.900000000000006,-0.0
7.799999999999997,-0.0
6.700000000000003,-0.0
5.599999999999994,-0.0
4.5,-0.0
3.4000000000000057,-0.0
2.299999999999997,-0.0
1.2000000000000028,-0.0
0.09999999999999432,-0.0
-1.0,-0.0
-2.0999999999999943,-0.0
-3.200000000000003,-0.0
-4.299999999999997,-0.0
-5.400000000000006,-0.0
-6.5,-0.0
-7.599999999999994,-0.0
-8.700000000000003,-0.0
-9.799999999999997,-0.0
-10.900000000000006,-0.0
-12.0,-0.0
-13.099999999999994,-0.0
-14.200000000000003,-0.0
-15.299999999999997,-0.0
-16.400000000000006,-0.0
-17.5,-0.0
-18.599999999999994,-0.0
-19.700000000000003,-0.0
-20.799999999999997,-0.0
-21.900000000000006,-0.0
-23.0,-0.0
-24.099999999999994,-0.0
-25.200000000000003,-0.0
-26.299999999999997,-0.0
-27.400000000000006,-0.0
-28.5,-0.0
-29.599999999999994,-0.0
-30.700000000000003,-0.0
-31.799999999999997,-0.0
-32.900000000000006,-0.0
-34.0,-0.0
-35.099999999999994,-0.0
-36.2,-0.0
-37.3,-0.0
-38.400000000000006,-0.0
-39.5,-0.0
-40.599999999999994,-0.0
-41.7,-0.0
-42.8,-0.0
-43.900000000000006,-0.0
-45.0,-0.0
-46.099999999999994,-0.0
-47.2,-0.0
-48.30000000000001,-0.0
-49.400000000000006,-0.0
-50.5,-0.0
